ISBN,Type,Title,Author,Publisher,Genre,Format,Unit Price,Publication Date,Pages,Length,Narrator,Rating
978-1-4386-9466-5,eBook,Anything week time director,Denise Anderson,Hachette Livre,Religion and Spirituality,Digital,10.02,13/02/1955,223,,,2.41
978-0-7997-1936-9,Book,Away north interest effect,Jacob Lucero,Transworld,Gardening and Nature,Paperback,17.15,05/08/1942,241,,,2.98
978-0-13-689858-0,Book,Hair research lay unit,Karen Walters,Random House,Period Drama,Hardback,34.6,09/03/1945,177,,,2.43
978-1-104-53838-5,Book,Management nature positive spring defense,Ryan Mason,Penguin Books,Comics,Paperback,42.68,15/01/1958,109,,,2.34
978-0-696-88109-1,Book,Dinner close draw PM allow,Ronald Shields,Random House,True Crime,Paperback,36.35,24/04/1977,207,,,4.02
978-0-14-953772-8,eBook,Up simple but fine production enough,Ethan Fletcher,Hachette Livre,Politics and Satire,Digital,23.21,05/07/1985,167,,,3.42
978-0-249-30006-2,Book,Land after major,Alexander Sanford,Corner Stone,Romance,Paperback,38.01,30/04/1999,219,,,1.91
978-0-9820648-5-6,Magazine,Modern sound alone national least same,Jennifer Espinoza,Random House,Cooking,Hardback,37.71,25/12/1965,196,,,2.02
978-1-09-947225-1,Magazine,Late live voice,Daniel Sanchez,Random House,Science Fiction,Hardback,55.32,29/03/1969,189,,,2.61
978-1-179-92893-7,Book,Power situation technology,John Hernandez,Corner Stone,Classic Fiction,Paperback,153.94,10/02/1978,172,,,1.93
978-1-67400-480-8,Book,Personal hospital plant us,Aimee Ramos,Joffe Books,Fantasy,Hardback,21.92,04/04/1951,120,,,3.76
978-0-467-36601-7,Book,Use short teacher,Kelly Frederick,Harper Collins,Thriller,Hardback,64.8,09/03/1946,255,,,2.61
978-1-67202-606-2,Book,Instead suggest use product why probably,Jonathan Barker,Corner Stone,Thriller,Hardback,21.37,21/09/1960,317,,,1.31
978-0-215-02464-0,Book,Up skin with,Patricia Johnson,Corner Stone,Comedy,Hardback,19.93,30/01/1981,194,,,1.86
978-0-203-96287-9,eBook,Voice avoid will,Kaitlyn Daniels,Faber & Faber,Period Drama,Digital,38.29,30/12/1986,218,,,2.69
978-1-4627-9517-8,eBook,Artist tree all yes,Crystal Munoz,Penguin Books,Period Drama,Digital,23.74,05/06/1968,217,,,3.81
978-1-09-955483-4,Book,Shake our or hospital,Brandy Wallace,Penguin Books,Travel,Paperback,26.12,13/05/2005,256,,,1.9
978-1-898529-04-0,Book,Hot its suffer campaign nature central skill,Susan Nguyen,Cambridge University Press,Politics and Satire,Hardback,92.23,26/11/1970,208,,,1.88
978-1-4682-4106-8,Book,Health agent probably leader,Brian Turner,Severn House,Politics and Satire,Paperback,14.75,25/07/1980,168,,,3.29
978-0-01-057257-5,Book,Behavior on product education tough others,Katherine Vaughan,Severn House,Young Adult,Paperback,83.6,11/07/1949,284,,,2.28
978-1-966753-33-9,Magazine,Go if record modern,Heather Chang,Corner Stone,Reference Book,Hardback,21.91,23/09/1965,171,,,2.98
978-0-936002-93-4,Book,Physical quality door simply effort,Connor Carter,Cambridge University Press,Science Fiction,Hardback,26.19,16/04/2007,153,,,2.2
978-0-7731-8797-9,Book,Group total expect,Donna Greer,Harper Collins,Fantasy,Hardback,21.87,19/03/1951,281,,,1.52
978-1-70190-877-2,Book,Republican style west,Richard Sanders,Joffe Books,Comedy,Hardback,60.7,16/08/1995,225,,,2.73
978-1-4723-6666-5,Book,Four community instead,Sarah Hart,Hachette Livre,Gardening and Nature,Hardback,24.17,28/09/1968,160,,,2.3
978-1-66729-818-4,Magazine,Goal my message action sense method,Alicia Hernandez,Transworld,Fantasy,Paperback,200.24,30/12/1957,147,,,2.04
978-0-08-052350-7,eBook,Unit me election me,Sarah Manning,Penguin Books,Comics,Digital,18.39,05/07/2002,185,,,4.02
978-0-00-455303-0,eBook,Then deal animal stop relationship president,Lisa Mills,Corner Stone,Action,Digital,29.29,02/10/1985,89,,,2.03
978-1-198-22457-7,Book,Might seek thank partner boy,Brandon Chang,Harper Collins,Religion and Spirituality,Paperback,22.84,08/05/1987,219,,,2.54
978-0-524-33193-4,Book,Hour mouth point,Aaron Clay,Random House,Comedy,Paperback,41.11,19/02/2014,234,,,3.25
978-1-929962-21-1,Book,Believe government yet best surface politics,Robert Bell,Harper Collins,Fantasy,Paperback,49.46,26/12/1951,199,,,2.88
978-1-00-800907-3,Book,Near range provide another,Tonya Johnson,Penguin Books,Science Fiction,Paperback,32.07,05/04/2010,161,,,2.57
978-0-02-623561-7,Book,Who sit performance,Bianca Nunez,Puffin Books,Science Fiction,Paperback,13.84,14/03/1967,219,,,1.66
978-0-303-60514-0,AudioBook,Federal party meeting out,Anthony Miller,Penguin Books,Memoir and Autobiography,Audio,12.66,06/11/2007,0,08:11,Julia Whelan,2.43
978-0-7925-5067-9,Book,Bill issue point next discussion,Katherine Pope,Puffin Books,Cooking,Hardback,65.5,23/04/1996,229,,,2.71
978-1-877298-93-6,Book,City better provide specific describe,Heidi Robinson,Corner Stone,Religion and Spirituality,Hardback,53.54,25/10/1962,142,,,3.41
978-1-03-289315-0,Book,Town behavior under claim much thousand after,Robert Brown,Puffin Books,Period Drama,Hardback,22.83,07/11/2015,214,,,2.48
978-0-08-987333-7,Magazine,Authority stage day your low whatever,Michael Turner,Random House,Romance,Hardback,22.73,30/03/1999,157,,,2.35
978-1-66620-956-3,Book,As short support manager sound,Sara Neal,Random House,Cooking,Hardback,15.05,11/12/2001,192,,,1.96
978-1-4228-1497-0,eBook,Girl catch describe kitchen,Jose Wu,Pearson,Reference Book,Digital,21.91,06/11/1941,254,,,1.69
978-1-06-589763-7,Book,Watch us wear upon,Randy Bush,Puffin Books,Reference Book,Paperback,25.04,05/06/1980,202,,,0.46
978-0-7950-4010-8,eBook,Group movie let,Shannon Morales,Harper Collins,Poetry,Digital,25.71,16/11/1956,193,,,1.56
978-0-936928-60-9,AudioBook,How huge down maybe similar,Maria Johnson,Faber & Faber,Science Fiction,Audio,28.37,12/09/1945,0,01:44,Julia Whelan,1.11
